R_arrest_pct,one_shaft_pct,five_shafts_pct,battery_pct
7.807017543859649322e+01,5.500694444444444997e+01,8.966666666666667140e+01,3.999999999999998224e+00
7.819548872180450871e+01,5.518367346938776308e+01,8.971428571428570820e+01,3.999999999999998224e+00
7.832080200501252421e+01,5.536068594104308715e+01,8.976190476190475920e+01,3.999999999999998224e+00
7.844611528822055391e+01,5.553798185941043641e+01,8.980952380952381020e+01,3.999999999999998224e+00
7.857142857142856940e+01,5.571556122448979664e+01,8.985714285714286120e+01,3.999999999999998224e+00
7.869674185463658489e+01,5.589342403628118205e+01,8.990476190476191221e+01,3.999999999999998224e+00
7.882205513784461459e+01,5.607157029478457844e+01,8.995238095238094900e+01,3.999999999999998224e+00
7.894736842105263008e+01,5.625000000000000000e+01,9.000000000000000000e+01,3.999999999999998224e+00
7.907268170426064557e+01,5.642871315192743253e+01,9.004761904761903679e+01,3.999999999999998224e+00
7.919799498746866107e+01,5.660770975056689025e+01,9.009523809523810201e+01,3.999999999999998224e+00
7.932330827067669077e+01,5.678698979591836604e+01,9.014285714285715301e+01,3.999999999999998224e+00
7.944862155388470626e+01,5.696655328798185991e+01,9.019047619047618980e+01,3.999999999999998224e+00
7.957393483709273596e+01,5.714640022675736475e+01,9.023809523809524080e+01,3.999999999999998224e+00
7.969924812030075145e+01,5.732653061224489477e+01,9.028571428571427759e+01,3.999999999999998224e+00
7.982456140350878115e+01,5.750694444444444287e+01,9.033333333333332860e+01,3.999999999999998224e+00
7.994987468671679665e+01,5.768764172335600904e+01,9.038095238095237960e+01,3.999999999999998224e+00
8.007518796992481214e+01,5.786862244897959329e+01,9.042857142857143060e+01,3.999999999999998224e+00
8.020050125313282763e+01,5.804988662131518140e+01,9.047619047619048160e+01,3.999999999999998224e+00
8.032581453634084312e+01,5.823143424036280180e+01,9.052380952380951840e+01,3.999999999999998224e+00
8.045112781954887282e+01,5.841326530612244028e+01,9.057142857142856940e+01,3.999999999999998224e+00
8.057644110275688831e+01,5.859537981859409683e+01,9.061904761904762040e+01,3.999999999999998224e+00
